origin;destination;airline;departure;arrival;price
KIN-Jamaica;YYC-Canada;Qatar Airways;26/04/2022 20:00:00 (-04:00);28/04/2022 03:00:00 (+08:00);3792.00
NRT-Japão;MEL-Austrália;United Airlines;17/04/2022 01:00:00 (+01:00);17/04/2022 16:00:00 (-03:00);2937.00
PEK-China;MEL-Austrália;United Airlines;18/04/2022 14:00:00 (-02:00);19/04/2022 03:00:00 (-07:00);4170.00
YYC-Canada;MEL-Austrália;AirCanada;01/04/2022 01:00:00 (-05:00);02/04/2022 00:00:00 (-04:00);4025.00
JFK-Estados Unidos;NRT-Japão;LATAM Airlines;05/04/2022 09:00:00 (-09:00);06/04/2022 02:00:00 (-11:00);3253.00
NRT-Japão;LIS-Portugal;Emirates;27/04/2022 09:00:00 (-04:00);27/04/2022 15:00:00 (+01:00);3185.00
JFK-Estados Unidos;FEN-Brasil;Qatar Airways;17/04/2022 15:00:00 (+04:00);17/04/2022 09:00:00 (-05:00);3929.00
GRU-Brasil;KIN-Jamaica;AirCanada;27/04/2022 04:00:00 (-12:00);28/04/2022 13:00:00 (+04:00);2891.00
JFK-Estados Unidos;LIS-Portugal;LATAM Airlines;04/04/2022 23:00:00 (+07:00);05/04/2022 03:00:00 (-04:00);4264.00
MEX-México;FEN-Brasil;AirFrance;13/04/2022 15:00:00 (+08:00);14/04/2022 12:00:00 (+07:00);4506.00
KIN-Jamaica;YYC-Canada;LATAM Airlines;26/04/2022 23:00:00 (+09:00);26/04/2022 03:00:00 (-12:00);3171.00
MEX-México;KIN-Jamaica;LATAM Airlines;01/04/2022 15:00:00 (+07:00);01/04/2022 12:00:00 (-03:00);2572.00
PEK-China;KIN-Jamaica;Qatar Airways;30/04/2022 03:00:00 (-08:00);30/04/2022 13:00:00 (-01:00);4081.00
MEX-México;GRU-Brasil;Ethiopian Airlines;29/04/2022 21:00:00 (+10:00);29/04/2022 20:00:00 (-06:00);3355.00
GRU-Brasil;FEN-Brasil;AirFrance;10/04/2022 20:00:00 (+03:00);11/04/2022 02:00:00 (-12:00);2913.00
JFK-Estados Unidos;FEN-Brasil;Gol Airlines;20/04/2022 07:00:00 (+11:00);19/04/2022 09:00:00 (-12:00);3890.00
JFK-Estados Unidos;YYC-Canada;Ethiopian Airlines;10/04/2022 21:00:00 (-06:00);11/04/2022 10:00:00 (-05:00);2078.00
JFK-Estados Unidos;GRU-Brasil;AirCanada;29/04/2022 02:00:00 (+02:00);30/04/2022 00:00:00 (+02:00);3791.00
YYC-Canada;MEL-Austrália;LATAM Airlines;17/04/2022 03:00:00 (+01:00);17/04/2022 15:00:00 (+07:00);3933.00
JFK-Estados Unidos;LIS-Portugal;American Airlines;14/04/2022 19:00:00 (Z);15/04/2022 04:00:00 (-04:00);4472.00
PEK-China;KIN-Jamaica;Ethiopian Airlines;19/04/2022 08:00:00 (+09:00);19/04/2022 17:00:00 (+12:00);2788.00
MEX-México;FEN-Brasil;AirCanada;20/04/2022 02:00:00 (-05:00);20/04/2022 20:00:00 (-04:00);4624.00
JFK-Estados Unidos;MEX-México;Qatar Airways;15/04/2022 01:00:00 (-12:00);16/04/2022 02:00:00 (+09:00);3642.00
NRT-Japão;GRU-Brasil;Gol Airlines;26/04/2022 17:00:00 (-11:00);27/04/2022 12:00:00 (-05:00);2594.00
NRT-Japão;PEK-China;Gol Airlines;10/04/2022 07:00:00 (Z);10/04/2022 13:00:00 (-02:00);4928.00
MEX-México;FEN-Brasil;Gol Airlines;20/04/2022 00:00:00 (+08:00);20/04/2022 00:00:00 (-09:00);4099.00
PEK-China;FEN-Brasil;Lufthansa;19/04/2022 14:00:00 (-09:00);20/04/2022 22:00:00 (+01:00);3727.00
FEN-Brasil;YYC-Canada;Qatar Airways;01/04/2022 07:00:00 (-01:00);01/04/2022 09:00:00 (Z);4515.00
NRT-Japão;MEL-Austrália;American Airlines;17/04/2022 01:00:00 (-06:00);17/04/2022 23:00:00 (-08:00);4185.00
PEK-China;GRU-Brasil;Lufthansa;21/04/2022 03:00:00 (+07:00);20/04/2022 13:00:00 (-09:00);2088.00
GRU-Brasil;FEN-Brasil;Emirates;16/04/2022 00:00:00 (-03:00);16/04/2022 22:00:00 (+12:00);3462.00
FEN-Brasil;YYC-Canada;LATAM Airlines;01/04/2022 13:00:00 (-02:00);02/04/2022 14:00:00 (+06:00);2073.00
FEN-Brasil;MEL-Austrália;AirCanada;13/04/2022 15:00:00 (+10:00);13/04/2022 04:00:00 (-12:00);4805.00
MEX-México;NRT-Japão;Emirates;18/04/2022 01:00:00 (+01:00);18/04/2022 21:00:00 (-03:00);3754.00
JFK-Estados Unidos;KIN-Jamaica;AirCanada;19/04/2022 21:00:00 (+10:00);20/04/2022 22:00:00 (+12:00);2937.00
MEX-México;KIN-Jamaica;Gol Airlines;02/04/2022 19:00:00 (+10:00);03/04/2022 03:00:00 (+08:00);2015.00
FEN-Brasil;LIS-Portugal;Lufthansa;30/04/2022 02:00:00 (+12:00);30/04/2022 01:00:00 (-05:00);2464.00
FEN-Brasil;LIS-Portugal;LATAM Airlines;17/04/2022 03:00:00 (-09:00);18/04/2022 07:00:00 (+08:00);4924.00
MEX-México;GRU-Brasil;Qatar Airways;14/04/2022 10:00:00 (-04:00);14/04/2022 22:00:00 (-09:00);4933.00
GRU-Brasil;MEL-Austrália;United Airlines;18/04/2022 16:00:00 (Z);19/04/2022 04:00:00 (+01:00);3928.00
NRT-Japão;LIS-Portugal;Lufthansa;02/04/2022 01:00:00 (-09:00);02/04/2022 10:00:00 (-11:00);2663.00
GRU-Brasil;KIN-Jamaica;Ethiopian Airlines;12/04/2022 06:00:00 (-07:00);12/04/2022 20:00:00 (-02:00);2869.00
FEN-Brasil;LIS-Portugal;Qatar Airways;30/04/2022 12:00:00 (+01:00);01/05/2022 06:00:00 (+06:00);3753.00
GRU-Brasil;LIS-Portugal;United Airlines;29/04/2022 08:00:00 (-07:00);29/04/2022 22:00:00 (-08:00);3066.00
MEX-México;PEK-China;Qatar Airways;28/04/2022 09:00:00 (+02:00);28/04/2022 09:00:00 (-03:00);3520.00
PEK-China;GRU-Brasil;Emirates;21/04/2022 00:00:00 (-06:00);21/04/2022 08:00:00 (-12:00);3962.00
MEX-México;NRT-Japão;Ethiopian Airlines;02/04/2022 09:00:00 (-02:00);03/04/2022 04:00:00 (+07:00);3256.00
NRT-Japão;LIS-Portugal;Qatar Airways;29/04/2022 07:00:00 (+01:00);28/04/2022 20:00:00 (-11:00);2766.00
NRT-Japão;FEN-Brasil;Qatar Airways;11/04/2022 23:00:00 (+08:00);11/04/2022 05:00:00 (-12:00);3994.00
KIN-Jamaica;LIS-Portugal;AirCanada;11/04/2022 02:00:00 (+07:00);11/04/2022 16:00:00 (+12:00);4934.00
MEX-México;KIN-Jamaica;AirCanada;15/04/2022 19:00:00 (+04:00);16/04/2022 10:00:00 (-04:00);2163.00
NRT-Japão;YYC-Canada;Qatar Airways;22/04/2022 05:00:00 (Z);23/04/2022 00:00:00 (+02:00);4284.00
NRT-Japão;KIN-Jamaica;Gol Airlines;14/04/2022 20:00:00 (+01:00);15/04/2022 08:00:00 (+08:00);4646.00
PEK-China;KIN-Jamaica;LATAM Airlines;18/04/2022 06:00:00 (+05:00);18/04/2022 18:00:00 (+12:00);2901.00
GRU-Brasil;YYC-Canada;Gol Airlines;03/04/2022 19:00:00 (+06:00);04/04/2022 10:00:00 (+03:00);2736.00
MEX-México;MEL-Austrália;LATAM Airlines;02/04/2022 23:00:00 (Z);03/04/2022 15:00:00 (-06:00);4173.00
NRT-Japão;MEL-Austrália;Lufthansa;10/04/2022 22:00:00 (-09:00);12/04/2022 12:00:00 (+07:00);3418.00
KIN-Jamaica;YYC-Canada;AirFrance;03/04/2022 04:00:00 (-02:00);04/04/2022 07:00:00 (+02:00);3249.00
KIN-Jamaica;MEL-Austrália;Ethiopian Airlines;09/04/2022 02:00:00 (-01:00);09/04/2022 13:00:00 (-04:00);4410.00
NRT-Japão;YYC-Canada;LATAM Airlines;22/04/2022 08:00:00 (+04:00);22/04/2022 14:00:00 (+01:00);4372.00
MEX-México;KIN-Jamaica;American Airlines;14/04/2022 20:00:00 (-04:00);15/04/2022 14:00:00 (+02:00);3747.00
JFK-Estados Unidos;MEX-México;Emirates;01/04/2022 14:00:00 (+12:00);01/04/2022 19:00:00 (-07:00);3545.00
PEK-China;YYC-Canada;Emirates;06/04/2022 19:00:00 (-12:00);07/04/2022 21:00:00 (-06:00);4720.00
FEN-Brasil;YYC-Canada;American Airlines;07/04/2022 06:00:00 (-08:00);07/04/2022 05:00:00 (-12:00);4828.00
JFK-Estados Unidos;MEL-Austrália;AirCanada;11/04/2022 07:00:00 (+12:00);10/04/2022 20:00:00 (-01:00);3504.00
MEX-México;FEN-Brasil;Emirates;28/04/2022 23:00:00 (-01:00);29/04/2022 11:00:00 (-09:00);2932.00
NRT-Japão;FEN-Brasil;Lufthansa;29/04/2022 03:00:00 (-04:00);30/04/2022 05:00:00 (+01:00);2317.00
JFK-Estados Unidos;GRU-Brasil;Qatar Airways;17/04/2022 13:00:00 (+12:00);18/04/2022 01:00:00 (+05:00);3789.00
NRT-Japão;FEN-Brasil;AirCanada;11/04/2022 03:00:00 (+12:00);11/04/2022 04:00:00 (-04:00);4740.00
KIN-Jamaica;LIS-Portugal;Lufthansa;27/04/2022 17:00:00 (-07:00);28/04/2022 08:00:00 (-07:00);4785.00
MEL-Austrália;LIS-Portugal;AirFrance;23/04/2022 03:00:00 (-05:00);22/04/2022 22:00:00 (-11:00);2459.00
MEX-México;PEK-China;United Airlines;12/04/2022 05:00:00 (-08:00);13/04/2022 11:00:00 (+04:00);3952.00
NRT-Japão;MEL-Austrália;Ethiopian Airlines;28/04/2022 14:00:00 (-08:00);29/04/2022 07:00:00 (Z);3567.00
MEX-México;LIS-Portugal;Lufthansa;11/04/2022 18:00:00 (+04:00);12/04/2022 05:00:00 (-07:00);2654.00
NRT-Japão;PEK-China;United Airlines;23/04/2022 01:00:00 (-03:00);23/04/2022 14:00:00 (-07:00);3007.00
GRU-Brasil;LIS-Portugal;Ethiopian Airlines;03/04/2022 08:00:00 (+07:00);03/04/2022 19:00:00 (+08:00);4986.00
YYC-Canada;LIS-Portugal;American Airlines;22/04/2022 07:00:00 (+06:00);22/04/2022 14:00:00 (-01:00);2013.00
JFK-Estados Unidos;LIS-Portugal;United Airlines;13/04/2022 22:00:00 (+08:00);13/04/2022 11:00:00 (-10:00);3880.00
MEL-Austrália;LIS-Portugal;Lufthansa;25/04/2022 17:00:00 (-05:00);26/04/2022 19:00:00 (+06:00);4276.00
PEK-China;LIS-Portugal;LATAM Airlines;05/04/2022 12:00:00 (-12:00);06/04/2022 20:00:00 (+11:00);3081.00
JFK-Estados Unidos;YYC-Canada;LATAM Airlines;13/04/2022 05:00:00 (-06:00);13/04/2022 18:00:00 (Z);3637.00
MEX-México;FEN-Brasil;United Airlines;09/04/2022 10:00:00 (+11:00);09/04/2022 06:00:00 (Z);3476.00
NRT-Japão;KIN-Jamaica;AirCanada;18/04/2022 20:00:00 (+11:00);18/04/2022 23:00:00 (+05:00);3563.00
NRT-Japão;KIN-Jamaica;LATAM Airlines;25/04/2022 14:00:00 (+12:00);25/04/2022 17:00:00 (+01:00);4349.00
KIN-Jamaica;YYC-Canada;Emirates;20/04/2022 11:00:00 (+12:00);20/04/2022 20:00:00 (+12:00);3113.00
NRT-Japão;GRU-Brasil;AirFrance;13/04/2022 19:00:00 (-03:00);14/04/2022 11:00:00 (+12:00);4063.00
FEN-Brasil;YYC-Canada;United Airlines;10/04/2022 02:00:00 (-11:00);11/04/2022 04:00:00 (+10:00);4550.00
MEX-México;GRU-Brasil;AirFrance;05/04/2022 15:00:00 (-07:00);06/04/2022 12:00:00 (+08:00);2455.00
NRT-Japão;MEL-Austrália;Qatar Airways;04/04/2022 03:00:00 (+11:00);04/04/2022 16:00:00 (+12:00);2345.00
MEL-Austrália;LIS-Portugal;United Airlines;14/04/2022 03:00:00 (-06:00);15/04/2022 01:00:00 (-02:00);2755.00
KIN-Jamaica;MEL-Austrália;Gol Airlines;25/04/2022 14:00:00 (+10:00);25/04/2022 19:00:00 (+10:00);2155.00
PEK-China;LIS-Portugal;United Airlines;08/04/2022 08:00:00 (+04:00);08/04/2022 09:00:00 (+04:00);2282.00
MEX-México;KIN-Jamaica;Qatar Airways;28/04/2022 05:00:00 (-03:00);29/04/2022 13:00:00 (+10:00);3797.00
JFK-Estados Unidos;YYC-Canada;American Airlines;03/04/2022 01:00:00 (Z);03/04/2022 13:00:00 (+03:00);4807.00
MEX-México;PEK-China;Ethiopian Airlines;06/04/2022 23:00:00 (-04:00);07/04/2022 04:00:00 (-11:00);2061.00
JFK-Estados Unidos;GRU-Brasil;Lufthansa;07/04/2022 02:00:00 (Z);08/04/2022 09:00:00 (+09:00);4272.00
NRT-Japão;YYC-Canada;United Airlines;03/04/2022 12:00:00 (-04:00);03/04/2022 21:00:00 (+01:00);4416.00
JFK-Estados Unidos;LIS-Portugal;AirFrance;19/04/2022 16:00:00 (+06:00);19/04/2022 14:00:00 (-09:00);4321.00
PEK-China;KIN-Jamaica;Lufthansa;05/04/2022 09:00:00 (+07:00);05/04/2022 10:00:00 (-03:00);2956.00
JFK-Estados Unidos;PEK-China;United Airlines;30/04/2022 01:00:00 (-04:00);30/04/2022 15:00:00 (-04:00);3696.00
GRU-Brasil;YYC-Canada;AirFrance;27/04/2022 12:00:00 (-01:00);28/04/2022 02:00:00 (-04:00);2211.00
PEK-China;FEN-Brasil;AirFrance;27/04/2022 15:00:00 (+06:00);28/04/2022 04:00:00 (-01:00);4321.00
GRU-Brasil;FEN-Brasil;American Airlines;02/04/2022 15:00:00 (-05:00);03/04/2022 14:00:00 (+05:00);3387.00
JFK-Estados Unidos;NRT-Japão;AirCanada;13/04/2022 08:00:00 (-03:00);14/04/2022 09:00:00 (+11:00);2513.00
YYC-Canada;LIS-Portugal;AirFrance;08/04/2022 03:00:00 (+01:00);08/04/2022 14:00:00 (+10:00);4425.00
MEX-México;MEL-Austrália;Lufthansa;08/04/2022 15:00:00 (+06:00);09/04/2022 10:00:00 (+02:00);3527.00
NRT-Japão;FEN-Brasil;American Airlines;04/04/2022 14:00:00 (+10:00);04/04/2022 10:00:00 (+02:00);2843.00
MEX-México;YYC-Canada;United Airlines;07/04/2022 08:00:00 (-01:00);08/04/2022 14:00:00 (+11:00);4941.00
MEX-México;LIS-Portugal;AirCanada;04/04/2022 06:00:00 (+08:00);04/04/2022 13:00:00 (-05:00);3400.00
KIN-Jamaica;FEN-Brasil;LATAM Airlines;26/04/2022 18:00:00 (-01:00);27/04/2022 11:00:00 (-01:00);3682.00
MEX-México;YYC-Canada;AirCanada;13/04/2022 11:00:00 (+07:00);13/04/2022 19:00:00 (-08:00);4693.00
JFK-Estados Unidos;KIN-Jamaica;AirFrance;10/04/2022 05:00:00 (Z);10/04/2022 12:00:00 (+05:00);3992.00
FEN-Brasil;MEL-Austrália;LATAM Airlines;07/04/2022 02:00:00 (+02:00);06/04/2022 21:00:00 (-06:00);4944.00
YYC-Canada;MEL-Austrália;Lufthansa;22/04/2022 01:00:00 (+12:00);21/04/2022 21:00:00 (+01:00);2427.00
PEK-China;FEN-Brasil;Ethiopian Airlines;14/04/2022 19:00:00 (-01:00);15/04/2022 01:00:00 (+03:00);3984.00
MEX-México;LIS-Portugal;United Airlines;09/04/2022 22:00:00 (-05:00);10/04/2022 13:00:00 (+08:00);4824.00
GRU-Brasil;FEN-Brasil;Lufthansa;08/04/2022 18:00:00 (-04:00);09/04/2022 17:00:00 (-01:00);2299.00
JFK-Estados Unidos;GRU-Brasil;United Airlines;21/04/2022 15:00:00 (+10:00);21/04/2022 19:00:00 (+08:00);3351.00
PEK-China;LIS-Portugal;AirFrance;30/04/2022 11:00:00 (+08:00);01/05/2022 05:00:00 (+12:00);3078.00
MEX-México;GRU-Brasil;AirCanada;16/04/2022 21:00:00 (+03:00);17/04/2022 00:00:00 (-01:00);2372.00
JFK-Estados Unidos;MEL-Austrália;Lufthansa;04/04/2022 23:00:00 (+11:00);04/04/2022 08:00:00 (-06:00);3656.00
MEX-México;PEK-China;Gol Airlines;30/04/2022 08:00:00 (+03:00);30/04/2022 05:00:00 (-12:00);3507.00
KIN-Jamaica;FEN-Brasil;United Airlines;14/04/2022 17:00:00 (+09:00);15/04/2022 00:00:00 (+04:00);2141.00
FEN-Brasil;LIS-Portugal;American Airlines;24/04/2022 00:00:00 (-03:00);24/04/2022 16:00:00 (+04:00);3100.00
GRU-Brasil;KIN-Jamaica;United Airlines;04/04/2022 00:00:00 (-12:00);05/04/2022 02:00:00 (+08:00);4769.00
PEK-China;YYC-Canada;American Airlines;23/04/2022 02:00:00 (+04:00);22/04/2022 21:00:00 (-09:00);2835.00
JFK-Estados Unidos;MEX-México;Ethiopian Airlines;29/04/2022 03:00:00 (-07:00);29/04/2022 22:00:00 (+11:00);3037.00
KIN-Jamaica;FEN-Brasil;Emirates;22/04/2022 10:00:00 (-09:00);22/04/2022 22:00:00 (-07:00);2167.00
PEK-China;KIN-Jamaica;American Airlines;17/04/2022 23:00:00 (+01:00);18/04/2022 13:00:00 (+09:00);2546.00
JFK-Estados Unidos;LIS-Portugal;Ethiopian Airlines;21/04/2022 07:00:00 (-06:00);22/04/2022 16:00:00 (+06:00);4717.00
KIN-Jamaica;LIS-Portugal;LATAM Airlines;25/04/2022 14:00:00 (+10:00);25/04/2022 21:00:00 (-04:00);3102.00
JFK-Estados Unidos;MEX-México;AirFrance;19/04/2022 10:00:00 (-08:00);20/04/2022 05:00:00 (-04:00);4140.00
MEX-México;KIN-Jamaica;AirFrance;03/04/2022 20:00:00 (-01:00);04/04/2022 10:00:00 (-06:00);4658.00
MEX-México;GRU-Brasil;LATAM Airlines;20/04/2022 06:00:00 (-02:00);21/04/2022 15:00:00 (+12:00);4085.00
MEX-México;PEK-China;AirFrance;07/04/2022 11:00:00 (-03:00);07/04/2022 22:00:00 (Z);4263.00
GRU-Brasil;KIN-Jamaica;Qatar Airways;07/04/2022 01:00:00 (-06:00);08/04/2022 04:00:00 (-01:00);2136.00
NRT-Japão;PEK-China;LATAM Airlines;20/04/2022 10:00:00 (-07:00);20/04/2022 10:00:00 (-09:00);4814.00
MEX-México;NRT-Japão;LATAM Airlines;22/04/2022 22:00:00 (-09:00);23/04/2022 18:00:00 (+03:00);3595.00
JFK-Estados Unidos;KIN-Jamaica;Emirates;27/04/2022 03:00:00 (-11:00);28/04/2022 17:00:00 (+04:00);4153.00
GRU-Brasil;LIS-Portugal;Emirates;11/04/2022 16:00:00 (-02:00);12/04/2022 12:00:00 (-02:00);4539.00
GRU-Brasil;KIN-Jamaica;LATAM Airlines;09/04/2022 07:00:00 (-12:00);09/04/2022 18:00:00 (-05:00);2006.00
JFK-Estados Unidos;KIN-Jamaica;American Airlines;03/04/2022 08:00:00 (-07:00);03/04/2022 04:00:00 (-12:00);3202.00
GRU-Brasil;MEL-Austrália;Ethiopian Airlines;06/04/2022 08:00:00 (-07:00);06/04/2022 21:00:00 (-10:00);4914.00
NRT-Japão;FEN-Brasil;Ethiopian Airlines;28/04/2022 21:00:00 (+01:00);28/04/2022 21:00:00 (Z);2810.00
FEN-Brasil;MEL-Austrália;American Airlines;28/04/2022 06:00:00 (-10:00);29/04/2022 03:00:00 (-07:00);2341.00
PEK-China;MEL-Austrália;LATAM Airlines;25/04/2022 05:00:00 (-10:00);26/04/2022 15:00:00 (+02:00);2400.00
PEK-China;GRU-Brasil;United Airlines;05/04/2022 01:00:00 (+11:00);05/04/2022 18:00:00 (+07:00);2936.00
MEL-Austrália;LIS-Portugal;Ethiopian Airlines;28/04/2022 11:00:00 (-10:00);29/04/2022 21:00:00 (Z);2878.00
PEK-China;KIN-Jamaica;Gol Airlines;16/04/2022 05:00:00 (+09:00);16/04/2022 11:00:00 (-06:00);2735.00
YYC-Canada;LIS-Portugal;United Airlines;04/04/2022 09:00:00 (-05:00);04/04/2022 15:00:00 (-02:00);2001.00
YYC-Canada;LIS-Portugal;LATAM Airlines;07/04/2022 14:00:00 (-11:00);08/04/2022 17:00:00 (+12:00);2632.00
NRT-Japão;LIS-Portugal;American Airlines;30/04/2022 22:00:00 (-02:00);01/05/2022 20:00:00 (-01:00);2822.00
JFK-Estados Unidos;LIS-Portugal;Qatar Airways;17/04/2022 02:00:00 (-08:00);18/04/2022 10:00:00 (+10:00);4918.00
PEK-China;YYC-Canada;LATAM Airlines;06/04/2022 22:00:00 (+11:00);06/04/2022 16:00:00 (+02:00);4019.00
MEX-México;LIS-Portugal;American Airlines;22/04/2022 13:00:00 (-12:00);23/04/2022 03:00:00 (-10:00);2825.00
YYC-Canada;MEL-Austrália;Gol Airlines;21/04/2022 06:00:00 (-11:00);22/04/2022 07:00:00 (+02:00);4257.00
JFK-Estados Unidos;FEN-Brasil;AirFrance;06/04/2022 07:00:00 (+08:00);07/04/2022 05:00:00 (+06:00);3313.00
NRT-Japão;GRU-Brasil;American Airlines;23/04/2022 22:00:00 (+09:00);23/04/2022 17:00:00 (-07:00);4289.00
PEK-China;MEL-Austrália;Gol Airlines;19/04/2022 13:00:00 (-01:00);19/04/2022 22:00:00 (+04:00);2649.00
PEK-China;GRU-Brasil;AirCanada;22/04/2022 08:00:00 (+12:00);22/04/2022 21:00:00 (+06:00);4574.00
JFK-Estados Unidos;YYC-Canada;United Airlines;17/04/2022 15:00:00 (-05:00);18/04/2022 12:00:00 (Z);3273.00
NRT-Japão;MEL-Austrália;AirCanada;24/04/2022 12:00:00 (-05:00);25/04/2022 17:00:00 (+06:00);3451.00
MEL-Austrália;LIS-Portugal;Emirates;12/04/2022 08:00:00 (+01:00);12/04/2022 19:00:00 (+10:00);4527.00
PEK-China;FEN-Brasil;AirCanada;26/04/2022 21:00:00 (-11:00);27/04/2022 09:00:00 (-03:00);2419.00
PEK-China;GRU-Brasil;LATAM Airlines;14/04/2022 12:00:00 (+04:00);14/04/2022 10:00:00 (-04:00);2406.00
FEN-Brasil;MEL-Austrália;Lufthansa;03/04/2022 03:00:00 (-06:00);03/04/2022 18:00:00 (+08:00);4733.00
JFK-Estados Unidos;NRT-Japão;Qatar Airways;23/04/2022 12:00:00 (+01:00);24/04/2022 10:00:00 (+12:00);2076.00
JFK-Estados Unidos;PEK-China;AirCanada;09/04/2022 20:00:00 (+06:00);10/04/2022 12:00:00 (+06:00);4653.00
JFK-Estados Unidos;KIN-Jamaica;United Airlines;07/04/2022 22:00:00 (+11:00);07/04/2022 06:00:00 (-11:00);4234.00
PEK-China;GRU-Brasil;Qatar Airways;15/04/2022 14:00:00 (+07:00);16/04/2022 01:00:00 (-05:00);2786.00
KIN-Jamaica;LIS-Portugal;Gol Airlines;19/04/2022 04:00:00 (+12:00);19/04/2022 17:00:00 (+07:00);2970.00
JFK-Estados Unidos;GRU-Brasil;Ethiopian Airlines;14/04/2022 19:00:00 (-10:00);15/04/2022 05:00:00 (-09:00);2294.00
PEK-China;FEN-Brasil;American Airlines;14/04/2022 02:00:00 (-04:00);15/04/2022 05:00:00 (+05:00);2108.00
MEL-Austrália;LIS-Portugal;American Airlines;18/04/2022 03:00:00 (-08:00);18/04/2022 18:00:00 (-03:00);2507.00
NRT-Japão;FEN-Brasil;United Airlines;10/04/2022 14:00:00 (Z);11/04/2022 08:00:00 (+12:00);4718.00
GRU-Brasil;KIN-Jamaica;AirFrance;07/04/2022 16:00:00 (-05:00);07/04/2022 19:00:00 (-08:00);3871.00
GRU-Brasil;KIN-Jamaica;Gol Airlines;02/04/2022 01:00:00 (+04:00);01/04/2022 23:00:00 (+01:00);2190.00
GRU-Brasil;MEL-Austrália;AirCanada;27/04/2022 22:00:00 (+12:00);27/04/2022 16:00:00 (+04:00);4943.00
PEK-China;YYC-Canada;AirFrance;19/04/2022 23:00:00 (-12:00);21/04/2022 13:00:00 (+04:00);2225.00
JFK-Estados Unidos;NRT-Japão;American Airlines;26/04/2022 09:00:00 (+08:00);26/04/2022 20:00:00 (-04:00);2842.00
NRT-Japão;KIN-Jamaica;AirFrance;24/04/2022 08:00:00 (+11:00);24/04/2022 12:00:00 (+03:00);4826.00
NRT-Japão;YYC-Canada;Lufthansa;25/04/2022 12:00:00 (+05:00);25/04/2022 07:00:00 (-02:00);2052.00
MEX-México;FEN-Brasil;Qatar Airways;07/04/2022 00:00:00 (-03:00);07/04/2022 14:00:00 (-05:00);3233.00
GRU-Brasil;FEN-Brasil;United Airlines;11/04/2022 00:00:00 (+12:00);10/04/2022 14:00:00 (-05:00);3262.00
YYC-Canada;MEL-Austrália;United Airlines;30/04/2022 04:00:00 (-07:00);01/05/2022 00:00:00 (-10:00);2211.00
KIN-Jamaica;FEN-Brasil;American Airlines;21/04/2022 08:00:00 (+02:00);21/04/2022 05:00:00 (-06:00);2297.00
PEK-China;YYC-Canada;United Airlines;15/04/2022 04:00:00 (+05:00);15/04/2022 05:00:00 (-02:00);4071.00
NRT-Japão;YYC-Canada;Ethiopian Airlines;27/04/2022 08:00:00 (-12:00);28/04/2022 13:00:00 (+03:00);4543.00
NRT-Japão;LIS-Portugal;Ethiopian Airlines;03/04/2022 09:00:00 (+06:00);02/04/2022 16:00:00 (-12:00);2619.00
KIN-Jamaica;FEN-Brasil;Lufthansa;29/04/2022 19:00:00 (+05:00);29/04/2022 13:00:00 (-04:00);2938.00
MEX-México;LIS-Portugal;Ethiopian Airlines;02/04/2022 08:00:00 (Z);03/04/2022 01:00:00 (+01:00);3258.00
JFK-Estados Unidos;FEN-Brasil;Emirates;14/04/2022 23:00:00 (-02:00);15/04/2022 00:00:00 (-08:00);4066.00
GRU-Brasil;KIN-Jamaica;American Airlines;20/04/2022 13:00:00 (-08:00);22/04/2022 01:00:00 (+12:00);3380.00
JFK-Estados Unidos;MEL-Austrália;LATAM Airlines;04/04/2022 21:00:00 (Z);05/04/2022 05:00:00 (+05:00);2129.00
MEX-México;NRT-Japão;United Airlines;09/04/2022 04:00:00 (Z);09/04/2022 22:00:00 (-06:00);3684.00
NRT-Japão;MEL-Austrália;AirFrance;16/04/2022 13:00:00 (+06:00);17/04/2022 08:00:00 (+03:00);3357.00
NRT-Japão;PEK-China;Qatar Airways;15/04/2022 10:00:00 (-07:00);16/04/2022 02:00:00 (+05:00);2208.00
MEX-México;MEL-Austrália;AirFrance;19/04/2022 21:00:00 (+01:00);20/04/2022 10:00:00 (+04:00);2255.00
MEX-México;MEL-Austrália;American Airlines;02/04/2022 17:00:00 (-01:00);03/04/2022 17:00:00 (+11:00);3264.00
JFK-Estados Unidos;PEK-China;AirFrance;01/04/2022 02:00:00 (+06:00);01/04/2022 00:00:00 (-12:00);4571.00
MEX-México;LIS-Portugal;Emirates;11/04/2022 06:00:00 (-09:00);12/04/2022 11:00:00 (-02:00);2246.00
MEL-Austrália;LIS-Portugal;AirCanada;20/04/2022 04:00:00 (-05:00);20/04/2022 12:00:00 (-12:00);3165.00
MEX-México;LIS-Portugal;Gol Airlines;18/04/2022 22:00:00 (+06:00);19/04/2022 15:00:00 (+08:00);3331.00
GRU-Brasil;YYC-Canada;LATAM Airlines;22/04/2022 02:00:00 (-06:00);22/04/2022 20:00:00 (+04:00);2591.00
KIN-Jamaica;LIS-Portugal;United Airlines;07/04/2022 11:00:00 (+08:00);06/04/2022 16:00:00 (-12:00);4160.00
MEX-México;PEK-China;American Airlines;29/04/2022 13:00:00 (-08:00);30/04/2022 08:00:00 (+05:00);4143.00
PEK-China;MEL-Austrália;American Airlines;17/04/2022 06:00:00 (-03:00);18/04/2022 07:00:00 (+04:00);2626.00
PEK-China;LIS-Portugal;Ethiopian Airlines;08/04/2022 14:00:00 (+09:00);08/04/2022 18:00:00 (+02:00);3021.00
