origin;destination;airline;departure;arrival;price;time 
MEX-México;GRU-Brasil;Ethiopian Airlines;2022-04-29T21:00+10:00;2022-04-29T20:00-06:00;R$3355.0;15
GRU-Brasil;FEN-Brasil;AirFrance;2022-04-10T20:00+03:00;2022-04-11T02:00-12:00;R$2913.0;21
JFK-Estados Unidos;FEN-Brasil;Gol Airlines;2022-04-20T07:00+11:00;2022-04-19T09:00-12:00;R$3890.0;1
JFK-Estados Unidos;YYC-Canada;Ethiopian Airlines;2022-04-10T21:00-06:00;2022-04-11T10:00-05:00;R$2078.0;12
JFK-Estados Unidos;GRU-Brasil;AirCanada;2022-04-29T02:00+02:00;2022-04-30T00:00+02:00;R$3791.0;22
YYC-Canada;MEL-Austrália;LATAM Airlines;2022-04-17T03:00+01:00;2022-04-17T15:00+07:00;R$3933.0;6
JFK-Estados Unidos;LIS-Portugal;American Airlines;2022-04-14T19:00Z;2022-04-15T04:00-04:00;R$4472.0;13
PEK-China;KIN-Jamaica;Ethiopian Airlines;2022-04-19T08:00+09:00;2022-04-19T17:00+12:00;R$2788.0;6
MEX-México;FEN-Brasil;AirCanada;2022-04-20T02:00-05:00;2022-04-20T20:00-04:00;R$4624.0;17
JFK-Estados Unidos;MEX-México;Qatar Airways;2022-04-15T01:00-12:00;2022-04-16T02:00+09:00;R$3642.0;4
NRT-Japão;GRU-Brasil;Gol Airlines;2022-04-26T17:00-11:00;2022-04-27T12:00-05:00;R$2594.0;13
NRT-Japão;PEK-China;Gol Airlines;2022-04-10T07:00Z;2022-04-10T13:00-02:00;R$4928.0;8
MEX-México;FEN-Brasil;Gol Airlines;2022-04-20T00:00+08:00;2022-04-20T00:00-09:00;R$4099.0;17
PEK-China;FEN-Brasil;Lufthansa;2022-04-19T14:00-09:00;2022-04-20T22:00+01:00;R$3727.0;22
FEN-Brasil;YYC-Canada;Qatar Airways;2022-04-01T07:00-01:00;2022-04-01T09:00Z;R$4515.0;1
NRT-Japão;MEL-Austrália;American Airlines;2022-04-17T01:00-06:00;2022-04-17T23:00-08:00;R$4185.0;24
PEK-China;GRU-Brasil;Lufthansa;2022-04-21T03:00+07:00;2022-04-20T13:00-09:00;R$2088.0;2
GRU-Brasil;FEN-Brasil;Emirates;2022-04-16T00:00-03:00;2022-04-16T22:00+12:00;R$3462.0;7
FEN-Brasil;YYC-Canada;LATAM Airlines;2022-04-01T13:00-02:00;2022-04-02T14:00+06:00;R$2073.0;17
FEN-Brasil;MEL-Austrália;AirCanada;2022-04-13T15:00+10:00;2022-04-13T04:00-12:00;R$4805.0;11
MEX-México;NRT-Japão;Emirates;2022-04-18T01:00+01:00;2022-04-18T21:00-03:00;R$3754.0;24
JFK-Estados Unidos;KIN-Jamaica;AirCanada;2022-04-19T21:00+10:00;2022-04-20T22:00+12:00;R$2937.0;23
MEX-México;KIN-Jamaica;Gol Airlines;2022-04-02T19:00+10:00;2022-04-03T03:00+08:00;R$2015.0;10
FEN-Brasil;LIS-Portugal;Lufthansa;2022-04-30T02:00+12:00;2022-04-30T01:00-05:00;R$2464.0;16
FEN-Brasil;LIS-Portugal;LATAM Airlines;2022-04-17T03:00-09:00;2022-04-18T07:00+08:00;R$4924.0;11
MEX-México;GRU-Brasil;Qatar Airways;2022-04-14T10:00-04:00;2022-04-14T22:00-09:00;R$4933.0;17
GRU-Brasil;MEL-Austrália;United Airlines;2022-04-18T16:00Z;2022-04-19T04:00+01:00;R$3928.0;11
NRT-Japão;LIS-Portugal;Lufthansa;2022-04-02T01:00-09:00;2022-04-02T10:00-11:00;R$2663.0;11
GRU-Brasil;KIN-Jamaica;Ethiopian Airlines;2022-04-12T06:00-07:00;2022-04-12T20:00-02:00;R$2869.0;9
FEN-Brasil;LIS-Portugal;Qatar Airways;2022-04-30T12:00+01:00;2022-05-01T06:00+06:00;R$3753.0;13
GRU-Brasil;LIS-Portugal;United Airlines;2022-04-29T08:00-07:00;2022-04-29T22:00-08:00;R$3066.0;15
MEX-México;PEK-China;Qatar Airways;2022-04-28T09:00+02:00;2022-04-28T09:00-03:00;R$3520.0;5
PEK-China;GRU-Brasil;Emirates;2022-04-21T00:00-06:00;2022-04-21T08:00-12:00;R$3962.0;14
MEX-México;NRT-Japão;Ethiopian Airlines;2022-04-02T09:00-02:00;2022-04-03T04:00+07:00;R$3256.0;10
NRT-Japão;LIS-Portugal;Qatar Airways;2022-04-29T07:00+01:00;2022-04-28T20:00-11:00;R$2766.0;1
NRT-Japão;FEN-Brasil;Qatar Airways;2022-04-11T23:00+08:00;2022-04-11T05:00-12:00;R$3994.0;2
KIN-Jamaica;LIS-Portugal;AirCanada;2022-04-11T02:00+07:00;2022-04-11T16:00+12:00;R$4934.0;9
MEX-México;KIN-Jamaica;AirCanada;2022-04-15T19:00+04:00;2022-04-16T10:00-04:00;R$2163.0;23
NRT-Japão;YYC-Canada;Qatar Airways;2022-04-22T05:00Z;2022-04-23T00:00+02:00;R$4284.0;17
NRT-Japão;KIN-Jamaica;Gol Airlines;2022-04-14T20:00+01:00;2022-04-15T08:00+08:00;R$4646.0;5
PEK-China;KIN-Jamaica;LATAM Airlines;2022-04-18T06:00+05:00;2022-04-18T18:00+12:00;R$2901.0;5
GRU-Brasil;YYC-Canada;Gol Airlines;2022-04-03T19:00+06:00;2022-04-04T10:00+03:00;R$2736.0;18
MEX-México;MEL-Austrália;LATAM Airlines;2022-04-02T23:00Z;2022-04-03T15:00-06:00;R$4173.0;22
NRT-Japão;MEL-Austrália;Lufthansa;2022-04-10T22:00-09:00;2022-04-12T12:00+07:00;R$3418.0;22
KIN-Jamaica;YYC-Canada;AirFrance;2022-04-03T04:00-02:00;2022-04-04T07:00+02:00;R$3249.0;23
KIN-Jamaica;MEL-Austrália;Ethiopian Airlines;2022-04-09T02:00-01:00;2022-04-09T13:00-04:00;R$4410.0;14
NRT-Japão;YYC-Canada;LATAM Airlines;2022-04-22T08:00+04:00;2022-04-22T14:00+01:00;R$4372.0;9
MEX-México;KIN-Jamaica;American Airlines;2022-04-14T20:00-04:00;2022-04-15T14:00+02:00;R$3747.0;12
JFK-Estados Unidos;MEX-México;Emirates;2022-04-01T14:00+12:00;2022-04-01T19:00-07:00;R$3545.0;24
PEK-China;YYC-Canada;Emirates;2022-04-06T19:00-12:00;2022-04-07T21:00-06:00;R$4720.0;20
FEN-Brasil;YYC-Canada;American Airlines;2022-04-07T06:00-08:00;2022-04-07T05:00-12:00;R$4828.0;3
JFK-Estados Unidos;MEL-Austrália;AirCanada;2022-04-11T07:00+12:00;2022-04-10T20:00-01:00;R$3504.0;2
MEX-México;FEN-Brasil;Emirates;2022-04-28T23:00-01:00;2022-04-29T11:00-09:00;R$2932.0;20
NRT-Japão;FEN-Brasil;Lufthansa;2022-04-29T03:00-04:00;2022-04-30T05:00+01:00;R$2317.0;21
JFK-Estados Unidos;GRU-Brasil;Qatar Airways;2022-04-17T13:00+12:00;2022-04-18T01:00+05:00;R$3789.0;19
NRT-Japão;FEN-Brasil;AirCanada;2022-04-11T03:00+12:00;2022-04-11T04:00-04:00;R$4740.0;17
KIN-Jamaica;LIS-Portugal;Lufthansa;2022-04-27T17:00-07:00;2022-04-28T08:00-07:00;R$4785.0;15
MEL-Austrália;LIS-Portugal;AirFrance;2022-04-23T03:00-05:00;2022-04-22T22:00-11:00;R$2459.0;1
MEX-México;PEK-China;United Airlines;2022-04-12T05:00-08:00;2022-04-13T11:00+04:00;R$3952.0;18
NRT-Japão;MEL-Austrália;Ethiopian Airlines;2022-04-28T14:00-08:00;2022-04-29T07:00Z;R$3567.0;9
MEX-México;LIS-Portugal;Lufthansa;2022-04-11T18:00+04:00;2022-04-12T05:00-07:00;R$2654.0;22
NRT-Japão;PEK-China;United Airlines;2022-04-23T01:00-03:00;2022-04-23T14:00-07:00;R$3007.0;17
GRU-Brasil;LIS-Portugal;Ethiopian Airlines;2022-04-03T08:00+07:00;2022-04-03T19:00+08:00;R$4986.0;10
YYC-Canada;LIS-Portugal;American Airlines;2022-04-22T07:00+06:00;2022-04-22T14:00-01:00;R$2013.0;14
JFK-Estados Unidos;LIS-Portugal;United Airlines;2022-04-13T22:00+08:00;2022-04-13T11:00-10:00;R$3880.0;7
MEL-Austrália;LIS-Portugal;Lufthansa;2022-04-25T17:00-05:00;2022-04-26T19:00+06:00;R$4276.0;15
PEK-China;LIS-Portugal;LATAM Airlines;2022-04-05T12:00-12:00;2022-04-06T20:00+11:00;R$3081.0;9
JFK-Estados Unidos;YYC-Canada;LATAM Airlines;2022-04-13T05:00-06:00;2022-04-13T18:00Z;R$3637.0;7
MEX-México;FEN-Brasil;United Airlines;2022-04-09T10:00+11:00;2022-04-09T06:00Z;R$3476.0;7
NRT-Japão;KIN-Jamaica;AirCanada;2022-04-18T20:00+11:00;2022-04-18T23:00+05:00;R$3563.0;9
NRT-Japão;KIN-Jamaica;LATAM Airlines;2022-04-25T14:00+12:00;2022-04-25T17:00+01:00;R$4349.0;14
KIN-Jamaica;YYC-Canada;Emirates;2022-04-20T11:00+12:00;2022-04-20T20:00+12:00;R$3113.0;9
NRT-Japão;GRU-Brasil;AirFrance;2022-04-13T19:00-03:00;2022-04-14T11:00+12:00;R$4063.0;1
FEN-Brasil;YYC-Canada;United Airlines;2022-04-10T02:00-11:00;2022-04-11T04:00+10:00;R$4550.0;5
MEX-México;GRU-Brasil;AirFrance;2022-04-05T15:00-07:00;2022-04-06T12:00+08:00;R$2455.0;6
NRT-Japão;MEL-Austrália;Qatar Airways;2022-04-04T03:00+11:00;2022-04-04T16:00+12:00;R$2345.0;12
MEL-Austrália;LIS-Portugal;United Airlines;2022-04-14T03:00-06:00;2022-04-15T01:00-02:00;R$2755.0;18
KIN-Jamaica;MEL-Austrália;Gol Airlines;2022-04-25T14:00+10:00;2022-04-25T19:00+10:00;R$2155.0;5
PEK-China;LIS-Portugal;United Airlines;2022-04-08T08:00+04:00;2022-04-08T09:00+04:00;R$2282.0;1
MEX-México;KIN-Jamaica;Qatar Airways;2022-04-28T05:00-03:00;2022-04-29T13:00+10:00;R$3797.0;19
JFK-Estados Unidos;YYC-Canada;American Airlines;2022-04-03T01:00Z;2022-04-03T13:00+03:00;R$4807.0;9
MEX-México;PEK-China;Ethiopian Airlines;2022-04-06T23:00-04:00;2022-04-07T04:00-11:00;R$2061.0;12
JFK-Estados Unidos;GRU-Brasil;Lufthansa;2022-04-07T02:00Z;2022-04-08T09:00+09:00;R$4272.0;22
NRT-Japão;YYC-Canada;United Airlines;2022-04-03T12:00-04:00;2022-04-03T21:00+01:00;R$4416.0;4
JFK-Estados Unidos;LIS-Portugal;AirFrance;2022-04-19T16:00+06:00;2022-04-19T14:00-09:00;R$4321.0;13
PEK-China;KIN-Jamaica;Lufthansa;2022-04-05T09:00+07:00;2022-04-05T10:00-03:00;R$2956.0;11
JFK-Estados Unidos;PEK-China;United Airlines;2022-04-30T01:00-04:00;2022-04-30T15:00-04:00;R$3696.0;14
GRU-Brasil;YYC-Canada;AirFrance;2022-04-27T12:00-01:00;2022-04-28T02:00-04:00;R$2211.0;17
PEK-China;FEN-Brasil;AirFrance;2022-04-27T15:00+06:00;2022-04-28T04:00-01:00;R$4321.0;20
GRU-Brasil;FEN-Brasil;American Airlines;2022-04-02T15:00-05:00;2022-04-03T14:00+05:00;R$3387.0;13
JFK-Estados Unidos;NRT-Japão;AirCanada;2022-04-13T08:00-03:00;2022-04-14T09:00+11:00;R$2513.0;11
YYC-Canada;LIS-Portugal;AirFrance;2022-04-08T03:00+01:00;2022-04-08T14:00+10:00;R$4425.0;2
MEX-México;MEL-Austrália;Lufthansa;2022-04-08T15:00+06:00;2022-04-09T10:00+02:00;R$3527.0;23
NRT-Japão;FEN-Brasil;American Airlines;2022-04-04T14:00+10:00;2022-04-04T10:00+02:00;R$2843.0;4
MEX-México;YYC-Canada;United Airlines;2022-04-07T08:00-01:00;2022-04-08T14:00+11:00;R$4941.0;18
MEX-México;LIS-Portugal;AirCanada;2022-04-04T06:00+08:00;2022-04-04T13:00-05:00;R$3400.0;20
KIN-Jamaica;FEN-Brasil;LATAM Airlines;2022-04-26T18:00-01:00;2022-04-27T11:00-01:00;R$3682.0;17
MEX-México;YYC-Canada;AirCanada;2022-04-13T11:00+07:00;2022-04-13T19:00-08:00;R$4693.0;23
JFK-Estados Unidos;KIN-Jamaica;AirFrance;2022-04-10T05:00Z;2022-04-10T12:00+05:00;R$3992.0;2
FEN-Brasil;MEL-Austrália;LATAM Airlines;2022-04-07T02:00+02:00;2022-04-06T21:00-06:00;R$4944.0;3
YYC-Canada;MEL-Austrália;Lufthansa;2022-04-22T01:00+12:00;2022-04-21T21:00+01:00;R$2427.0;7
PEK-China;FEN-Brasil;Ethiopian Airlines;2022-04-14T19:00-01:00;2022-04-15T01:00+03:00;R$3984.0;2
MEX-México;LIS-Portugal;United Airlines;2022-04-09T22:00-05:00;2022-04-10T13:00+08:00;R$4824.0;2
GRU-Brasil;FEN-Brasil;Lufthansa;2022-04-08T18:00-04:00;2022-04-09T17:00-01:00;R$2299.0;20
JFK-Estados Unidos;GRU-Brasil;United Airlines;2022-04-21T15:00+10:00;2022-04-21T19:00+08:00;R$3351.0;6
PEK-China;LIS-Portugal;AirFrance;2022-04-30T11:00+08:00;2022-05-01T05:00+12:00;R$3078.0;14
MEX-México;GRU-Brasil;AirCanada;2022-04-16T21:00+03:00;2022-04-17T00:00-01:00;R$2372.0;7
JFK-Estados Unidos;MEL-Austrália;Lufthansa;2022-04-04T23:00+11:00;2022-04-04T08:00-06:00;R$3656.0;2
MEX-México;PEK-China;Gol Airlines;2022-04-30T08:00+03:00;2022-04-30T05:00-12:00;R$3507.0;12
KIN-Jamaica;FEN-Brasil;United Airlines;2022-04-14T17:00+09:00;2022-04-15T00:00+04:00;R$2141.0;12
FEN-Brasil;LIS-Portugal;American Airlines;2022-04-24T00:00-03:00;2022-04-24T16:00+04:00;R$3100.0;9
GRU-Brasil;KIN-Jamaica;United Airlines;2022-04-04T00:00-12:00;2022-04-05T02:00+08:00;R$4769.0;6
PEK-China;YYC-Canada;American Airlines;2022-04-23T02:00+04:00;2022-04-22T21:00-09:00;R$2835.0;8
JFK-Estados Unidos;MEX-México;Ethiopian Airlines;2022-04-29T03:00-07:00;2022-04-29T22:00+11:00;R$3037.0;1
KIN-Jamaica;FEN-Brasil;Emirates;2022-04-22T10:00-09:00;2022-04-22T22:00-07:00;R$2167.0;10
PEK-China;KIN-Jamaica;American Airlines;2022-04-17T23:00+01:00;2022-04-18T13:00+09:00;R$2546.0;6
JFK-Estados Unidos;LIS-Portugal;Ethiopian Airlines;2022-04-21T07:00-06:00;2022-04-22T16:00+06:00;R$4717.0;21
KIN-Jamaica;LIS-Portugal;LATAM Airlines;2022-04-25T14:00+10:00;2022-04-25T21:00-04:00;R$3102.0;21
JFK-Estados Unidos;MEX-México;AirFrance;2022-04-19T10:00-08:00;2022-04-20T05:00-04:00;R$4140.0;15
MEX-México;KIN-Jamaica;AirFrance;2022-04-03T20:00-01:00;2022-04-04T10:00-06:00;R$4658.0;19
MEX-México;GRU-Brasil;LATAM Airlines;2022-04-20T06:00-02:00;2022-04-21T15:00+12:00;R$4085.0;19
MEX-México;PEK-China;AirFrance;2022-04-07T11:00-03:00;2022-04-07T22:00Z;R$4263.0;8
GRU-Brasil;KIN-Jamaica;Qatar Airways;2022-04-07T01:00-06:00;2022-04-08T04:00-01:00;R$2136.0;22
NRT-Japão;PEK-China;LATAM Airlines;2022-04-20T10:00-07:00;2022-04-20T10:00-09:00;R$4814.0;2
MEX-México;NRT-Japão;LATAM Airlines;2022-04-22T22:00-09:00;2022-04-23T18:00+03:00;R$3595.0;8
JFK-Estados Unidos;KIN-Jamaica;Emirates;2022-04-27T03:00-11:00;2022-04-28T17:00+04:00;R$4153.0;23
GRU-Brasil;LIS-Portugal;Emirates;2022-04-11T16:00-02:00;2022-04-12T12:00-02:00;R$4539.0;20
GRU-Brasil;KIN-Jamaica;LATAM Airlines;2022-04-09T07:00-12:00;2022-04-09T18:00-05:00;R$2006.0;4
JFK-Estados Unidos;KIN-Jamaica;American Airlines;2022-04-03T08:00-07:00;2022-04-03T04:00-12:00;R$3202.0;1
GRU-Brasil;MEL-Austrália;Ethiopian Airlines;2022-04-06T08:00-07:00;2022-04-06T21:00-10:00;R$4914.0;16
NRT-Japão;FEN-Brasil;Ethiopian Airlines;2022-04-28T21:00+01:00;2022-04-28T21:00Z;R$2810.0;1
FEN-Brasil;MEL-Austrália;American Airlines;2022-04-28T06:00-10:00;2022-04-29T03:00-07:00;R$2341.0;18
PEK-China;MEL-Austrália;LATAM Airlines;2022-04-25T05:00-10:00;2022-04-26T15:00+02:00;R$2400.0;22
PEK-China;GRU-Brasil;United Airlines;2022-04-05T01:00+11:00;2022-04-05T18:00+07:00;R$2936.0;21
MEL-Austrália;LIS-Portugal;Ethiopian Airlines;2022-04-28T11:00-10:00;2022-04-29T21:00Z;R$2878.0;24
PEK-China;KIN-Jamaica;Gol Airlines;2022-04-16T05:00+09:00;2022-04-16T11:00-06:00;R$2735.0;21
YYC-Canada;LIS-Portugal;United Airlines;2022-04-04T09:00-05:00;2022-04-04T15:00-02:00;R$2001.0;3
YYC-Canada;LIS-Portugal;LATAM Airlines;2022-04-07T14:00-11:00;2022-04-08T17:00+12:00;R$2632.0;4
NRT-Japão;LIS-Portugal;American Airlines;2022-04-30T22:00-02:00;2022-05-01T20:00-01:00;R$2822.0;21
JFK-Estados Unidos;LIS-Portugal;Qatar Airways;2022-04-17T02:00-08:00;2022-04-18T10:00+10:00;R$4918.0;14
PEK-China;YYC-Canada;LATAM Airlines;2022-04-06T22:00+11:00;2022-04-06T16:00+02:00;R$4019.0;3
MEX-México;LIS-Portugal;American Airlines;2022-04-22T13:00-12:00;2022-04-23T03:00-10:00;R$2825.0;12
YYC-Canada;MEL-Austrália;Gol Airlines;2022-04-21T06:00-11:00;2022-04-22T07:00+02:00;R$4257.0;12
JFK-Estados Unidos;FEN-Brasil;AirFrance;2022-04-06T07:00+08:00;2022-04-07T05:00+06:00;R$3313.0;24
NRT-Japão;GRU-Brasil;American Airlines;2022-04-23T22:00+09:00;2022-04-23T17:00-07:00;R$4289.0;11
PEK-China;MEL-Austrália;Gol Airlines;2022-04-19T13:00-01:00;2022-04-19T22:00+04:00;R$2649.0;4
PEK-China;GRU-Brasil;AirCanada;2022-04-22T08:00+12:00;2022-04-22T21:00+06:00;R$4574.0;19
JFK-Estados Unidos;YYC-Canada;United Airlines;2022-04-17T15:00-05:00;2022-04-18T12:00Z;R$3273.0;16
NRT-Japão;MEL-Austrália;AirCanada;2022-04-24T12:00-05:00;2022-04-25T17:00+06:00;R$3451.0;18
MEL-Austrália;LIS-Portugal;Emirates;2022-04-12T08:00+01:00;2022-04-12T19:00+10:00;R$4527.0;2
PEK-China;FEN-Brasil;AirCanada;2022-04-26T21:00-11:00;2022-04-27T09:00-03:00;R$2419.0;4
PEK-China;GRU-Brasil;LATAM Airlines;2022-04-14T12:00+04:00;2022-04-14T10:00-04:00;R$2406.0;6
FEN-Brasil;MEL-Austrália;Lufthansa;2022-04-03T03:00-06:00;2022-04-03T18:00+08:00;R$4733.0;1
JFK-Estados Unidos;NRT-Japão;Qatar Airways;2022-04-23T12:00+01:00;2022-04-24T10:00+12:00;R$2076.0;11
JFK-Estados Unidos;PEK-China;AirCanada;2022-04-09T20:00+06:00;2022-04-10T12:00+06:00;R$4653.0;16
JFK-Estados Unidos;KIN-Jamaica;United Airlines;2022-04-07T22:00+11:00;2022-04-07T06:00-11:00;R$4234.0;6
PEK-China;GRU-Brasil;Qatar Airways;2022-04-15T14:00+07:00;2022-04-16T01:00-05:00;R$2786.0;23
KIN-Jamaica;LIS-Portugal;Gol Airlines;2022-04-19T04:00+12:00;2022-04-19T17:00+07:00;R$2970.0;18
JFK-Estados Unidos;GRU-Brasil;Ethiopian Airlines;2022-04-14T19:00-10:00;2022-04-15T05:00-09:00;R$2294.0;9
PEK-China;FEN-Brasil;American Airlines;2022-04-14T02:00-04:00;2022-04-15T05:00+05:00;R$2108.0;18
MEL-Austrália;LIS-Portugal;American Airlines;2022-04-18T03:00-08:00;2022-04-18T18:00-03:00;R$2507.0;10
NRT-Japão;FEN-Brasil;United Airlines;2022-04-10T14:00Z;2022-04-11T08:00+12:00;R$4718.0;6
GRU-Brasil;KIN-Jamaica;AirFrance;2022-04-07T16:00-05:00;2022-04-07T19:00-08:00;R$3871.0;6
GRU-Brasil;KIN-Jamaica;Gol Airlines;2022-04-02T01:00+04:00;2022-04-01T23:00+01:00;R$2190.0;1
GRU-Brasil;MEL-Austrália;AirCanada;2022-04-27T22:00+12:00;2022-04-27T16:00+04:00;R$4943.0;2
PEK-China;YYC-Canada;AirFrance;2022-04-19T23:00-12:00;2022-04-21T13:00+04:00;R$2225.0;22
JFK-Estados Unidos;NRT-Japão;American Airlines;2022-04-26T09:00+08:00;2022-04-26T20:00-04:00;R$2842.0;23
NRT-Japão;KIN-Jamaica;AirFrance;2022-04-24T08:00+11:00;2022-04-24T12:00+03:00;R$4826.0;12
NRT-Japão;YYC-Canada;Lufthansa;2022-04-25T12:00+05:00;2022-04-25T07:00-02:00;R$2052.0;2
MEX-México;FEN-Brasil;Qatar Airways;2022-04-07T00:00-03:00;2022-04-07T14:00-05:00;R$3233.0;16
GRU-Brasil;FEN-Brasil;United Airlines;2022-04-11T00:00+12:00;2022-04-10T14:00-05:00;R$3262.0;7
YYC-Canada;MEL-Austrália;United Airlines;2022-04-30T04:00-07:00;2022-05-01T00:00-10:00;R$2211.0;23
KIN-Jamaica;FEN-Brasil;American Airlines;2022-04-21T08:00+02:00;2022-04-21T05:00-06:00;R$2297.0;5
PEK-China;YYC-Canada;United Airlines;2022-04-15T04:00+05:00;2022-04-15T05:00-02:00;R$4071.0;8
NRT-Japão;YYC-Canada;Ethiopian Airlines;2022-04-27T08:00-12:00;2022-04-28T13:00+03:00;R$4543.0;14
NRT-Japão;LIS-Portugal;Ethiopian Airlines;2022-04-03T09:00+06:00;2022-04-02T16:00-12:00;R$2619.0;1
KIN-Jamaica;FEN-Brasil;Lufthansa;2022-04-29T19:00+05:00;2022-04-29T13:00-04:00;R$2938.0;3
MEX-México;LIS-Portugal;Ethiopian Airlines;2022-04-02T08:00Z;2022-04-03T01:00+01:00;R$3258.0;16
JFK-Estados Unidos;FEN-Brasil;Emirates;2022-04-14T23:00-02:00;2022-04-15T00:00-08:00;R$4066.0;7
GRU-Brasil;KIN-Jamaica;American Airlines;2022-04-20T13:00-08:00;2022-04-22T01:00+12:00;R$3380.0;16
JFK-Estados Unidos;MEL-Austrália;LATAM Airlines;2022-04-04T21:00Z;2022-04-05T05:00+05:00;R$2129.0;3
MEX-México;NRT-Japão;United Airlines;2022-04-09T04:00Z;2022-04-09T22:00-06:00;R$3684.0;24
NRT-Japão;MEL-Austrália;AirFrance;2022-04-16T13:00+06:00;2022-04-17T08:00+03:00;R$3357.0;22
NRT-Japão;PEK-China;Qatar Airways;2022-04-15T10:00-07:00;2022-04-16T02:00+05:00;R$2208.0;4
MEX-México;MEL-Austrália;AirFrance;2022-04-19T21:00+01:00;2022-04-20T10:00+04:00;R$2255.0;10
MEX-México;MEL-Austrália;American Airlines;2022-04-02T17:00-01:00;2022-04-03T17:00+11:00;R$3264.0;12
JFK-Estados Unidos;PEK-China;AirFrance;2022-04-01T02:00+06:00;2022-04-01T00:00-12:00;R$4571.0;16
MEX-México;LIS-Portugal;Emirates;2022-04-11T06:00-09:00;2022-04-12T11:00-02:00;R$2246.0;22
MEL-Austrália;LIS-Portugal;AirCanada;2022-04-20T04:00-05:00;2022-04-20T12:00-12:00;R$3165.0;15
MEX-México;LIS-Portugal;Gol Airlines;2022-04-18T22:00+06:00;2022-04-19T15:00+08:00;R$3331.0;15
GRU-Brasil;YYC-Canada;LATAM Airlines;2022-04-22T02:00-06:00;2022-04-22T20:00+04:00;R$2591.0;8
KIN-Jamaica;LIS-Portugal;United Airlines;2022-04-07T11:00+08:00;2022-04-06T16:00-12:00;R$4160.0;1
MEX-México;PEK-China;American Airlines;2022-04-29T13:00-08:00;2022-04-30T08:00+05:00;R$4143.0;6
PEK-China;MEL-Austrália;American Airlines;2022-04-17T06:00-03:00;2022-04-18T07:00+04:00;R$2626.0;18
PEK-China;LIS-Portugal;Ethiopian Airlines;2022-04-08T14:00+09:00;2022-04-08T18:00+02:00;R$3021.0;11
GRU-Brasil;LIS-Portugal;Qatar Airways;2022-04-25T08:00-03:00;2022-04-26T05:00-01:00;R$3651.0;19
NRT-Japão;PEK-China;American Airlines;2022-04-06T04:00-04:00;2022-04-07T01:00+03:00;R$4208.0;14
YYC-Canada;LIS-Portugal;Lufthansa;2022-04-16T10:00-03:00;2022-04-17T10:00+05:00;R$2355.0;16
PEK-China;LIS-Portugal;American Airlines;2022-04-18T20:00-09:00;2022-04-18T22:00-11:00;R$4678.0;4
MEX-México;GRU-Brasil;Lufthansa;2022-04-13T22:00-04:00;2022-04-14T04:00-09:00;R$3943.0;11
JFK-Estados Unidos;GRU-Brasil;AirFrance;2022-04-27T22:00-01:00;2022-04-28T08:00-05:00;R$4995.0;14
NRT-Japão;FEN-Brasil;Emirates;2022-04-02T10:00+05:00;2022-04-02T09:00-08:00;R$4854.0;12
JFK-Estados Unidos;MEL-Austrália;United Airlines;2022-04-04T05:00+12:00;2022-04-04T17:00+08:00;R$4746.0;16
GRU-Brasil;FEN-Brasil;LATAM Airlines;2022-04-26T22:00-09:00;2022-04-28T01:00+05:00;R$3226.0;13
GRU-Brasil;MEL-Austrália;AirFrance;2022-04-08T05:00+02:00;2022-04-08T13:00+02:00;R$4061.0;8
FEN-Brasil;MEL-Austrália;Gol Airlines;2022-04-21T16:00+04:00;2022-04-22T05:00+11:00;R$2659.0;6
NRT-Japão;PEK-China;AirFrance;2022-04-16T21:00+01:00;2022-04-17T18:00+09:00;R$2285.0;13
NRT-Japão;LIS-Portugal;LATAM Airlines;2022-04-18T02:00+04:00;2022-04-19T01:00+03:00;R$3608.0;24
GRU-Brasil;YYC-Canada;Lufthansa;2022-04-21T18:00+09:00;2022-04-21T18:00-08:00;R$3547.0;17
PEK-China;GRU-Brasil;Gol Airlines;2022-04-13T14:00+06:00;2022-04-14T00:00-04:00;R$3139.0;20
JFK-Estados Unidos;NRT-Japão;Ethiopian Airlines;2022-04-02T13:00+06:00;2022-04-02T19:00-10:00;R$4937.0;22
NRT-Japão;FEN-Brasil;AirFrance;2022-04-22T03:00-04:00;2022-04-23T05:00+12:00;R$4117.0;10
MEX-México;YYC-Canada;Qatar Airways;2022-04-27T04:00+02:00;2022-04-28T13:00+12:00;R$3005.0;23
PEK-China;YYC-Canada;Gol Airlines;2022-04-22T20:00-11:00;2022-04-24T10:00+12:00;R$2747.0;15
JFK-Estados Unidos;KIN-Jamaica;Qatar Airways;2022-04-13T07:00-11:00;2022-04-14T02:00+06:00;R$3502.0;2
KIN-Jamaica;LIS-Portugal;American Airlines;2022-04-06T19:00+09:00;2022-04-07T01:00+01:00;R$3062.0;14
MEX-México;YYC-Canada;LATAM Airlines;2022-04-30T13:00+07:00;2022-05-01T08:00+11:00;R$4846.0;15
NRT-Japão;YYC-Canada;Gol Airlines;2022-04-09T11:00+05:00;2022-04-09T18:00+03:00;R$2195.0;9
KIN-Jamaica;MEL-Austrália;AirFrance;2022-04-27T08:00-08:00;2022-04-27T09:00-09:00;R$3540.0;2
JFK-Estados Unidos;MEL-Austrália;Qatar Airways;2022-04-11T14:00-07:00;2022-04-12T06:00+01:00;R$3510.0;8
MEX-México;NRT-Japão;Qatar Airways;2022-04-20T04:00-01:00;2022-04-21T00:00+09:00;R$2405.0;10
